Östergötlands län	Ödeshög	6,447E+04	6,373E+04	6,512E+04	7,268E+04	7,139E+04	6,708E+04	6,550E+04	6,389E+04	6,367E+04	6,041E+04	5,703E+04
Östergötlands län	Ydre	2,669E+04	2,358E+04	2,075E+04	1,883E+04	1,763E+04	1,711E+04	1,593E+04	1,565E+04	1,548E+04	1,535E+04	1,457E+04
Östergötlands län	Kinda	7,193E+04	6,115E+04	5,882E+04	5,519E+04	5,614E+04	5,321E+04	5,096E+04	4,944E+04	4,853E+04	4,726E+04	4,686E+04
Östergötlands län	Boxholm	5,810E+04	6,537E+04	5,547E+04	5,397E+04	5,465E+04	4,998E+04	6,922E+04	4,803E+04	4,735E+04	4,967E+04	4,944E+04
Östergötlands län	Åtvidaberg	4,952E+04	4,201E+04	3,707E+04	3,547E+04	3,445E+04	3,379E+04	3,172E+04	3,105E+04	3,064E+04	3,036E+04	2,850E+04
Östergötlands län	Finspång	9,284E+04	7,896E+04	8,411E+04	9,676E+04	8,231E+04	8,363E+04	8,848E+04	7,732E+04	8,283E+04	8,218E+04	8,206E+04
Östergötlands län	Valdemarsvik	6,132E+04	5,577E+04	4,954E+04	4,385E+04	4,192E+04	4,034E+04	4,019E+04	3,850E+04	3,806E+04	3,737E+04	3,587E+04
Östergötlands län	Linköping	1,134E+06	6,709E+05	6,838E+05	7,683E+05	6,702E+05	6,335E+05	5,928E+05	5,426E+05	6,005E+05	6,198E+05	5,923E+05
Östergötlands län	Norrköping	4,921E+05	7,473E+05	7,100E+05	7,367E+05	6,724E+05	6,730E+05	6,312E+05	5,456E+05	5,625E+05	5,736E+05	5,507E+05
Östergötlands län	Söderköping	7,297E+04	6,377E+04	5,615E+04	5,135E+04	5,022E+04	4,845E+04	4,727E+04	4,602E+04	4,565E+04	4,452E+04	4,236E+04
Östergötlands län	Motala	1,544E+05	1,417E+05	1,292E+05	1,135E+05	1,048E+05	1,029E+05	9,964E+04	9,690E+04	9,419E+04	9,132E+04	8,362E+04
Östergötlands län	Vadstena	3,800E+04	3,202E+04	2,726E+04	2,396E+04	2,352E+04	2,292E+04	2,257E+04	2,160E+04	2,123E+04	2,110E+04	1,677E+04
Östergötlands län	Mjölby	1,341E+05	1,290E+05	1,277E+05	1,317E+05	1,247E+05	1,192E+05	1,161E+05	1,127E+05	1,137E+05	1,084E+05	1,048E+05
Jönköpings län	Aneby	3,044E+04	2,670E+04	2,772E+04	2,181E+04	2,021E+04	1,960E+04	1,837E+04	1,828E+04	1,800E+04	1,739E+04	1,968E+04
Jönköpings län	Gnosjö	4,252E+04	4,037E+04	3,144E+04	3,103E+04	3,018E+04	2,865E+04	2,844E+04	3,000E+04	2,976E+04	3,027E+04	3,124E+04
Jönköpings län	Mullsjö	2,564E+04	2,403E+04	2,186E+04	2,093E+04	1,988E+04	1,852E+04	1,839E+04	1,778E+04	1,780E+04	1,710E+04	1,763E+04
Jönköpings län	Habo	4,844E+04	4,487E+04	3,839E+04	3,911E+04	3,944E+04	3,775E+04	3,633E+04	3,517E+04	3,450E+04	3,360E+04	3,640E+04
Jönköpings län	Gislaved	1,259E+05	1,194E+05	1,063E+05	9,894E+04	9,293E+04	8,752E+04	8,587E+04	8,356E+04	8,317E+04	8,094E+04	7,582E+04
Jönköpings län	Vaggeryd	1,036E+05	1,015E+05	1,043E+05	1,158E+05	1,123E+05	1,081E+05	1,066E+05	1,021E+05	1,033E+05	9,668E+04	9,239E+04
Jönköpings län	Jönköping	4,765E+05	4,403E+05	4,449E+05	5,363E+05	4,957E+05	4,713E+05	4,633E+05	4,474E+05	4,367E+05	4,019E+05	3,970E+05
Jönköpings län	Nässjö	1,185E+05	1,038E+05	9,235E+04	8,866E+04	8,213E+04	7,806E+04	7,480E+04	7,293E+04	7,281E+04	7,365E+04	7,216E+04
Jönköpings län	Värnamo	1,767E+05	1,576E+05	1,710E+05	1,500E+05	1,508E+05	1,394E+05	1,356E+05	1,290E+05	1,277E+05	1,217E+05	1,260E+05
Jönköpings län	Sävsjö	5,546E+04	5,520E+04	4,869E+04	4,455E+04	4,165E+04	3,872E+04	3,996E+04	3,876E+04	3,840E+04	3,719E+04	3,676E+04
Jönköpings län	Vetlanda	1,429E+05	1,284E+05	1,394E+05	1,263E+05	1,183E+05	1,119E+05	1,072E+05	1,104E+05	1,139E+05	1,039E+05	1,029E+05
Jönköpings län	Eksjö	8,691E+04	7,652E+04	7,414E+04	8,083E+04	7,581E+04	7,132E+04	7,075E+04	7,069E+04	7,260E+04	7,236E+04	7,321E+04
Jönköpings län	Tranås	4,627E+04	4,307E+04	3,825E+04	4,266E+04	3,667E+04	3,481E+04	3,375E+04	3,278E+04	3,217E+04	3,120E+04	3,272E+04
Kronobergs län	Uppvidinge	6,167E+04	5,823E+04	5,181E+04	4,659E+04	4,593E+04	4,221E+04	4,190E+04	4,191E+04	4,100E+04	3,967E+04	3,759E+04
Kronobergs län	Lessebo	5,683E+04	4,757E+04	4,021E+04	2,657E+04	2,498E+04	2,317E+04	2,301E+04	2,226E+04	2,160E+04	2,032E+04	2,010E+04
Kronobergs län	Tingsryd	8,033E+04	7,672E+04	7,773E+04	6,009E+04	5,936E+04	5,508E+04	5,286E+04	4,895E+04	4,884E+04	4,860E+04	4,555E+04
Kronobergs län	Alvesta	1,001E+05	9,134E+04	1,002E+05	7,471E+04	7,138E+04	6,862E+04	6,588E+04	6,432E+04	6,359E+04	6,150E+04	6,131E+04
Kronobergs län	Älmhult	9,244E+04	7,969E+04	8,540E+04	6,213E+04	5,991E+04	5,935E+04	5,786E+04	5,826E+04	5,792E+04	5,667E+04	5,760E+04
Kronobergs län	Markaryd	1,288E+05	1,021E+05	8,918E+04	7,529E+04	7,151E+04	6,716E+04	6,504E+04	6,317E+04	6,270E+04	5,958E+04	5,745E+04
Kronobergs län	Växjö	3,315E+05	2,338E+05	2,637E+05	2,517E+05	2,114E+05	2,067E+05	1,902E+05	1,842E+05	1,749E+05	1,728E+05	1,682E+05
