Parameter	Chlorophyll_a	Basin	LARGE_basin
Chlorophyll_a	0,29	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,30	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,30	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,30	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,30	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,30	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,30	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	West Gotlandshavet	BalticProper
Chlorophyll_a	0,30	Bornholm_Hano	BalticProper
Chlorophyll_a	0,30	Bornholm_Hano	BalticProper
Chlorophyll_a	0,30	Bornholm_Hano	BalticProper
Chlorophyll_a	0,31	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,31	West Gotlandshavet	BalticProper
Chlorophyll_a	0,31	West Gotlandshavet	BalticProper
Chlorophyll_a	0,33	West Gotlandshavet	BalticProper
Chlorophyll_a	0,33	West Gotlandshavet	BalticProper
Chlorophyll_a	0,34	West Gotlandshavet	BalticProper
Chlorophyll_a	0,34	West Gotlandshavet	BalticProper
Chlorophyll_a	0,34	West Gotlandshavet	BalticProper
Chlorophyll_a	0,34	West Gotlandshavet	BalticProper
Chlorophyll_a	0,35	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,35	West Gotlandshavet	BalticProper
Chlorophyll_a	0,35	West Gotlandshavet	BalticProper
Chlorophyll_a	0,35	West Gotlandshavet	BalticProper
Chlorophyll_a	0,37	West Gotlandshavet	BalticProper
Chlorophyll_a	0,38	West Gotlandshavet	BalticProper
Chlorophyll_a	0,38	West Gotlandshavet	BalticProper
Chlorophyll_a	0,38	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
Chlorophyll_a	0,40	 Norra Gotlandshavet	BalticProper
